City Name	Year	Number of conferences
Veliky Novgorod, Russia	2014	1
Venice, Italy	2012	2
Venice, Italy	2016	1
Victoria, BC, Canada	2016	1
Vienna, Austria	2011	4
Vienna, Austria	2012	3
Vienna, Austria	2014	1
Vienna, Austria	2015	1
Vienna, Austria	2016	6
Vietri Sul Mare, Salerno, Italy	2016	3
Vilamoura, Algarve, Portugal	2017	4
Vilnius, Lithuania	2012	1
Volos, Greece	2016	1
Volterra (Pisa) Tuscany	2016	1
Warsaw, Poland	2014	1
Warsaw, Poland	2016	2
Warsaw, Poland	2017	1
Washington DC, USA	2012	5
Washington DC, USA	2013	1
Washington DC, USA	2014	2
Washington DC, USA	2015	2
Washington DC, USA	2016	6
Washington DC, USA	2017	1
West Bengal	2015	1
Wroclaw, Poland	2015	3
Wroclaw, Poland	2016	2
Wuhan, China	2013	1
Wuhan, China	2016	1
Wuhan, China	2017	8
Xi'an, China	2015	2
Xi'an, China	2016	1
Xi'an, China	2017	2
Yangzhou, China	2016	1
Yogyakarta, Indonesia	2016	1
Yokohama, Japan	2016	1
York, UK	2016	1
Zagreb, Croatia	2016	2
Zakopane, Poland	2017	1
Zurich, Switzerland	2013	1
Zurich, Switzerland	2017	1
Łódź, Poland	2013	1
Łódź, Poland	2015	1
Łódź, Poland	2016	1
